ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
2019,1,Sağlık Bilimleri Üniversitesi,21,ESENYURT,1
2019,1,Sakarya Üniversitesi,20,MALTEPE,4
2020,1,İstanbul Yeni Yüzyıl Üniversitesi,21,AVCILAR,1
2020,1,Biruni Üniversitesi,20,ZEYTİNBURNU,3
2019,1,İstanbul Üniversitesi,22,GAZİOSMANPAŞA,12
2019,2,Sivas Cumhuriyet Üniversitesi,20,KÜÇÜKÇEKMECE,1
2020,1,Sağlık Bilimleri Üniversitesi,22,KARTAL,5
2020,1,İstanbul Sabahattin Zaim Üniversitesi,19,BAĞCILAR,6
2019,1,Tekirdağ Namık Kemal,22,ESENYURT,3
2019,2,Eskişehir Teknik Üniversitesi,23,SULTANBEYLİ,1
2020,1,Selçuk Üniversitesi,23,SULTANBEYLİ,1
2020,1,Siirt Üniversitesi,19,KÜÇÜKÇEKMECE,1
2020,1,Selçuk Üniversitesi,19,BAĞCILAR,3
2019,1,İstanbul Kültür Üniversitesi,21,GÜNGÖREN,1
2020,1,İstanbul Kültür Üniversitesi,21,ESENYURT,1
2020,1,Marmara Üniversitesi,23,GÜNGÖREN,6
2019,1,Gazi Üniversitesi,22,ESENLER,1
2020,1,Tekirdağ Namık Kemal,22,BEYKOZ,1
2019,1,Erciyes Üniversitesi,22,BAĞCILAR,3
2019,2,Tekirdağ Namık Kemal,20,KAĞITHANE,5
2019,2,Çanakkale Onsekiz Mart Üniversitesi,20,GÜNGÖREN,3
2019,2,Kocaeli Üniversitesi,24,SİLİVRİ,1
2019,2,Orta Doğu Teknik Üniversitesi,21,AVCILAR,1
2019,2,Karabük Üniversitesi,24,GAZİOSMANPAŞA,1
2019,1,Beykent Üniversitesi,22,FATİH,3
2019,2,Bursa Uludağ Üniversitesi,21,SULTANBEYLİ,6
2019,2,Zonguldak Bülent Ecevit Üniversitesi,19,KÜÇÜKÇEKMECE,1
2019,2,Fırat Üniversitesi,22,KAĞITHANE,1
2020,1,Düzce Üniversitesi,22,SULTANBEYLİ,16
2020,1,İstanbul Teknik Üniversitesi,23,KADIKÖY,1
2020,1,Nevşehir Hacı Bektaş Veli Üniversitesi,19,SİLİVRİ,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,20,BEYLİKDÜZÜ,2
2019,2,Boğaziçi Üniversitesi,20,ÜMRANİYE,1
2019,1,Bursa Teknik Üniversitesi,19,KARTAL,1
2019,1,Boğaziçi Üniversitesi,22,SANCAKTEPE,1
2020,1,Giresun Üniversitesi,21,GÜNGÖREN,1
2019,2,Karadeniz Teknik Üniversitesi,20,SULTANGAZİ,1
2019,1,Beykent Üniversitesi,19,PENDİK,1
2020,1,Kütahya Dumlupınar Üniversitesi,20,KÜÇÜKÇEKMECE,1
2019,2,İstanbul Ayvansaray Üniversitesi,20,BAŞAKŞEHİR,1
2019,1,Eskişehir Osmangazi Üniversitesi,20,PENDİK,1
2020,1,Erciyes Üniversitesi,19,AVCILAR,1
2019,2,Alanya Alaaddin Keykubat Üniversitesi,21,ESENYURT,1
2019,2,İstanbul Esenyurt Üniversitesi,24,ZEYTİNBURNU,1
2020,1,Bursa Teknik Üniversitesi,23,KAĞITHANE,1
2020,1,İstanbul Gelişim Üniversitesi,19,AVCILAR,3
2020,1,İstanbul Arel Üniversitesi,18,ZEYTİNBURNU,3
2019,2,Çukurova Üniversitesi,20,ŞİLE,1
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,22,BÜYÜKÇEKMECE,1
2019,1,İstanbul Üniversitesi,23,BAYRAMPAŞA,6
2019,1,Bandırma Onyedi Eylül,21,BÜYÜKÇEKMECE,1
2019,2,Karabük Üniversitesi,21,AVCILAR,4
2019,1,Karabük Üniversitesi,21,FATİH,1
2020,1,Iğdır Üniversitesi,20,SULTANGAZİ,1
2020,1,İstanbul Medeniyet Üniversitesi,19,BEYKOZ,1
2019,2,İstanbul Üniversitesi,25,SARIYER,1
2020,1,Doğuş Üniversitesi,20,PENDİK,1
2019,1,İstanbul Üniversitesi-Cerrahpaşa,19,BAKIRKÖY,1
2020,1,Sağlık Bilimleri Üniversitesi,20,BAŞAKŞEHİR,5
2019,2,Bursa Uludağ Üniversitesi,22,ÇATALCA,2
2020,1,Hitit Üniversitesi,23,ÜMRANİYE,1
2020,1,İstanbul Medipol Üniversitesi,19,BAŞAKŞEHİR,3
2019,2,Yıldız Teknik Üniversitesi,23,KAĞITHANE,4
2020,1,İstanbul Arel Üniversitesi,19,KARTAL,1
2020,1,Bursa Teknik Üniversitesi,20,SULTANGAZİ,1
2019,2,Ondokuz Mayıs Üniversitesi,22,BAĞCILAR,1
2019,1,Erzincan Binali Yıldırım Üniversitesi,21,PENDİK,1
2020,1,İstanbul Medipol Üniversitesi,20,BAĞCILAR,9
2020,1,İstanbul Üniversitesi,21,KARTAL,12
2020,1,Bolu Abant İzzet Baysal Üniversitesi,19,SİLİVRİ,1
2020,1,Abdullah Gül Üniversitesi,22,SULTANGAZİ,1
2019,1,İstanbul Üniversitesi,19,AVCILAR,3
2020,1,İstanbul Aydın Üniversitesi,18,BAĞCILAR,2
2020,1,Trakya Üniversitesi,20,BEYLİKDÜZÜ,10
2020,1,İstanbul Gedik Üniversitesi,21,ÜMRANİYE,1
2019,2,İstanbul Üniversitesi,19,ÜSKÜDAR,3
2019,2,Bingöl Üniversitesi,24,SULTANBEYLİ,1
2019,2,Fırat Üniversitesi,23,ESENYURT,2
2019,1,Mef Üniversitesi,20,BAĞCILAR,1
2019,2,İstanbul Medeniyet Üniversitesi,23,EYÜPSULTAN,1
2019,1,Recep Tayyip Erdoğan,21,ARNAVUTKÖY,1
2019,1,Fatih Sultan Mehmet Vakıf Üniversitesi,21,BEYOĞLU,1
2020,1,Beykoz Üniversitesi,21,KARTAL,1
2020,1,Dokuz Eylül Üniversitesi,19,BÜYÜKÇEKMECE,2
2019,1,Üsküdar Üniversitesi,25,KARTAL,1
2020,1,Sakarya Üniversitesi,18,ÜMRANİYE,1
2019,1,Bilecik Şeyh Edebali Üniversitesi,20,ÜMRANİYE,1
2020,1,Nişantaşı Üniversitesi,21,ÇEKMEKÖY,1
2020,1,Karabük Üniversitesi,20,ATAŞEHİR,1
2019,2,İstanbul Üniversitesi-Cerrahpaşa,24,BAŞAKŞEHİR,1
2019,2,Muğla Sıtkı Koçman Üniversitesi,22,SULTANBEYLİ,1
2020,1,Balıkesir Üniversitesi,22,BAŞAKŞEHİR,1
2020,1,İstanbul Ticaret Üniversitesi,20,EYÜPSULTAN,2
2020,1,Karabük Üniversitesi,20,ARNAVUTKÖY,2
2019,2,Erciyes Üniversitesi,19,ESENLER,1
2019,2,İstanbul Medipol Üniversitesi,22,ESENLER,3
2019,1,Balıkesir Üniversitesi,20,BAĞCILAR,1
2019,1,İstanbul Gedik Üniversitesi,19,BEYKOZ,1
2020,1,Necmettin Erbakan Üniversitesi,22,SANCAKTEPE,1
2019,2,Osmaniye Korkut Ata Üniversitesi,20,BAĞCILAR,1
2020,1,İstanbul Teknik Üniversitesi,22,MALTEPE,2
2019,2,Eskişehir Osmangazi Üniversitesi,20,BAŞAKŞEHİR,1
2019,2,Bursa Uludağ Üniversitesi,20,ESENYURT,5
2020,1,Bandırma Onyedi Eylül,21,ESENLER,4
2019,2,Afyon Kocatepe Üniversitesi,22,SANCAKTEPE,1
2019,2,Çanakkale Onsekiz Mart Üniversitesi,19,ARNAVUTKÖY,2
2019,1,Adana Alparslan Türkeş Bilim Ve Teknoloji Üniversitesi,20,TUZLA,1
2020,1,Konya Teknik Üniversitesi,20,SULTANBEYLİ,2
2020,1,Muğla Sıtkı Koçman Üniversitesi,19,ARNAVUTKÖY,3
2020,1,Muğla Sıtkı Koçman Üniversitesi,20,PENDİK,1
2020,1,Kırklareli Üniversitesi,21,ÇATALCA,4
2019,2,Çanakkale Onsekiz Mart Üniversitesi,20,ÇEKMEKÖY,1
2019,2,Ankara Hacı Bayram Veli Üniversitesi,20,KÜÇÜKÇEKMECE,1
2019,1,İstanbul Teknik Üniversitesi,21,ESENLER,2
2020,1,İstanbul Üniversitesi,24,SULTANBEYLİ,2
2019,1,İstanbul Rumeli Üniversitesi,22,SULTANGAZİ,1
2020,1,Anadolu Üniversitesi,21,BEYKOZ,1
2020,1,Kocaeli Üniversitesi,21,BEYOĞLU,5
2020,1,Bandırma Onyedi Eylül,20,KADIKÖY,1
2019,1,Eskişehir Teknik Üniversitesi,25,GAZİOSMANPAŞA,1
2019,2,Fatih Sultan Mehmet Vakıf Üniversitesi,25,ÜMRANİYE,1
2019,2,Eskişehir Osmangazi Üniversitesi,22,KARTAL,1
2020,1,Gazi Üniversitesi,22,ESENYURT,1
2019,2,Necmettin Erbakan Üniversitesi,23,GAZİOSMANPAŞA,1
2020,1,Bursa Uludağ Üniversitesi,22,KARTAL,2
2019,1,İstanbul Üniversitesi,20,ÜSKÜDAR,8
2020,1,İzmir Katip Çelebi Üniversitesi,21,SANCAKTEPE,2
2019,1,Bolu Abant İzzet Baysal Üniversitesi,24,KARTAL,1
2020,1,Beykoz Üniversitesi,18,ÇEKMEKÖY,1
2020,1,Burdur Mehmet Akif Ersoy Üniversitesi,21,ÜSKÜDAR,1
2020,1,Amasya Üniversitesi,21,SULTANBEYLİ,1
2019,2,Ankara Üniversitesi,19,PENDİK,1
2020,1,İstanbul Kültür Üniversitesi,21,ÜSKÜDAR,1
2020,1,Beykoz Üniversitesi,22,KÜÇÜKÇEKMECE,1
2020,1,İstanbul Medipol Üniversitesi,20,BEYKOZ,5
2019,1,Bolu Abant İzzet Baysal Üniversitesi,23,BAĞCILAR,2
2019,2,Kocaeli Üniversitesi,20,KADIKÖY,1
2020,1,Düzce Üniversitesi,20,BEYLİKDÜZÜ,3
2019,1,Marmara Üniversitesi,22,SANCAKTEPE,6
2019,2,Ege Üniversitesi,25,PENDİK,1
2019,1,Sakarya Uygulamalı Bilimler Üniversitesi,22,SULTANBEYLİ,2
2020,1,Yalova Üniversitesi,18,KARTAL,1
2020,1,İstanbul Medipol Üniversitesi,22,BEYLİKDÜZÜ,1
2020,1,Kırklareli Üniversitesi,19,ESENYURT,6
2019,2,İstanbul Medeniyet Üniversitesi,23,SANCAKTEPE,5
2020,1,Dokuz Eylül Üniversitesi,25,SULTANGAZİ,1
2020,1,Kayseri Üniversitesi,19,BAĞCILAR,1
2019,1,İnönü Üniversitesi,22,SULTANGAZİ,1
2020,1,Gümüşhane Üniversitesi,18,ESENYURT,1
2020,1,Ege Üniversitesi,21,BAYRAMPAŞA,1
2019,1,Kastamonu Üniversitesi,19,ESENLER,1
2020,1,İzmir Katip Çelebi Üniversitesi,20,SULTANGAZİ,1
2020,1,Galatasaray Üniversitesi,21,PENDİK,1
2020,1,Niğde Ömer Halisdemir,18,SULTANBEYLİ,1
2020,1,İstanbul Medeniyet Üniversitesi,19,BAĞCILAR,1
2019,2,İstanbul Şişli Meslek Yüksekokulu,21,ÜSKÜDAR,1
2020,1,Boğaziçi Üniversitesi,19,KAĞITHANE,2
2020,1,Gebze Teknik Üniversitesi,22,BEYLİKDÜZÜ,2
2020,1,Alanya Alaaddin Keykubat Üniversitesi,23,KARTAL,1
2019,1,Bursa Uludağ Üniversitesi,22,SULTANBEYLİ,1
2020,1,Trakya Üniversitesi,20,AVCILAR,14
2019,2,Pamukkale Üniversitesi,20,BÜYÜKÇEKMECE,2
2019,2,Tokat Gaziosmanpaşa,24,ATAŞEHİR,1
2019,2,Kocaeli Üniversitesi,19,SULTANBEYLİ,5
2019,1,Kıbrıs Sosyal Bilimler Üniversitesi​,22,SİLİVRİ,1
2020,1,Maltepe Üniversitesi,21,SULTANBEYLİ,1
2019,1,Hacettepe Üniversitesi,24,BAHÇELİEVLER,1
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,19,ÇEKMEKÖY,3
2019,2,Sağlık Bilimleri Üniversitesi,23,ESENLER,1
2020,1,Yıldız Teknik Üniversitesi,23,BAYRAMPAŞA,6
2019,2,Kütahya Dumlupınar Üniversitesi,22,EYÜPSULTAN,1
2019,2,Ordu Üniversitesi,19,SULTANBEYLİ,3
2020,1,Anadolu Üniversitesi,21,BAĞCILAR,1
2019,1,Eskişehir Teknik Üniversitesi,21,KARTAL,1
2019,1,İstanbul Üniversitesi-Cerrahpaşa,20,BEYOĞLU,2
2019,1,Zonguldak Bülent Ecevit Üniversitesi,21,ŞİŞLİ,1
2019,2,Abdullah Gül Üniversitesi,19,BAĞCILAR,1
2020,1,Zonguldak Bülent Ecevit Üniversitesi,23,BEYOĞLU,1
2020,1,Bursa Uludağ Üniversitesi,21,ZEYTİNBURNU,8
2019,2,İstanbul Üniversitesi-Cerrahpaşa,23,ÇEKMEKÖY,3
2020,1,İstanbul Aydın Üniversitesi,19,KARTAL,2
2020,1,Kütahya Dumlupınar Üniversitesi,23,GAZİOSMANPAŞA,1
2020,1,Sağlık Bilimleri Üniversitesi,20,ÜMRANİYE,22
2020,1,İstanbul Medipol Üniversitesi,19,ÜMRANİYE,6
2020,1,Çanakkale Onsekiz Mart Üniversitesi,24,BAYRAMPAŞA,1
2020,1,Karadeniz Teknik Üniversitesi,21,SULTANBEYLİ,7
2019,1,Sakarya Üniversitesi,21,ÇATALCA,3
2020,1,Balıkesir Üniversitesi,21,ÇEKMEKÖY,1
2020,1,Gümüşhane Üniversitesi,25,KAĞITHANE,1
2019,2,Trakya Üniversitesi,24,KAĞITHANE,1
2019,1,Sağlık Bilimleri Üniversitesi,21,ÜSKÜDAR,3
2020,1,İstanbul Aydın Üniversitesi,18,ZEYTİNBURNU,1
2020,1,Nişantaşı Üniversitesi,22,SULTANGAZİ,2
2019,1,Uşak Üniversitesi,22,KAĞITHANE,1
